unit,sex,age,acl00,geo,TIME_PERIOD,OBS_VALUE
TIME_SP,T,Y15-20,AC0,EL,2010,11:16
PTP_RT,F,Y15-20,AC0,ES,2010,100
PTP_TIME,F,Y15-20,AC0,ES,2010,11:32
TIME_SP,F,Y15-20,AC0,ES,2010,11:32
PTP_RT,M,Y15-20,AC0,ES,2010,100
PTP_TIME,M,Y15-20,AC0,ES,2010,11:52
TIME_SP,M,Y15-20,AC0,ES,2010,11:52
PTP_RT,T,Y15-20,AC0,ES,2010,100
PTP_TIME,T,Y15-20,AC0,ES,2010,11:43
TIME_SP,T,Y15-20,AC0,ES,2010,11:43
PTP_RT,F,Y15-20,AC0,FI,2010,100
PTP_TIME,F,Y15-20,AC0,FI,2010,11:19
TIME_SP,F,Y15-20,AC0,FI,2010,11:19
PTP_RT,M,Y15-20,AC0,FI,2010,100
PTP_TIME,M,Y15-20,AC0,FI,2010,11:09
TIME_SP,M,Y15-20,AC0,FI,2010,11:09
PTP_RT,T,Y15-20,AC0,FI,2010,100
PTP_TIME,T,Y15-20,AC0,FI,2010,11:14
TIME_SP,T,Y15-20,AC0,FI,2010,11:14
PTP_RT,F,Y15-20,AC0,FR,2010,100
PTP_TIME,F,Y15-20,AC0,FR,2010,11:55
TIME_SP,F,Y15-20,AC0,FR,2010,11:55
PTP_RT,M,Y15-20,AC0,FR,2010,100
PTP_TIME,M,Y15-20,AC0,FR,2010,11:56
TIME_SP,M,Y15-20,AC0,FR,2010,11:56
PTP_RT,T,Y15-20,AC0,FR,2010,100
PTP_TIME,T,Y15-20,AC0,FR,2010,11:55
TIME_SP,T,Y15-20,AC0,FR,2010,11:55
PTP_RT,F,Y15-20,AC0,HU,2010,100
PTP_TIME,F,Y15-20,AC0,HU,2010,12:12
TIME_SP,F,Y15-20,AC0,HU,2010,12:12
PTP_RT,M,Y15-20,AC0,HU,2010,100
PTP_TIME,M,Y15-20,AC0,HU,2010,11:56
TIME_SP,M,Y15-20,AC0,HU,2010,11:56
PTP_RT,T,Y15-20,AC0,HU,2010,100
PTP_TIME,T,Y15-20,AC0,HU,2010,12:03
TIME_SP,T,Y15-20,AC0,HU,2010,12:03
PTP_RT,F,Y15-20,AC0,IT,2010,100
PTP_TIME,F,Y15-20,AC0,IT,2010,11:31
TIME_SP,F,Y15-20,AC0,IT,2010,11:31
PTP_RT,M,Y15-20,AC0,IT,2010,100
PTP_TIME,M,Y15-20,AC0,IT,2010,11:28
TIME_SP,M,Y15-20,AC0,IT,2010,11:28
PTP_RT,T,Y15-20,AC0,IT,2010,100
PTP_TIME,T,Y15-20,AC0,IT,2010,11:29
TIME_SP,T,Y15-20,AC0,IT,2010,11:29
PTP_RT,F,Y15-20,AC0,LU,2010,100
PTP_TIME,F,Y15-20,AC0,LU,2010,12:11
TIME_SP,F,Y15-20,AC0,LU,2010,12:11
PTP_RT,M,Y15-20,AC0,LU,2010,100
PTP_TIME,M,Y15-20,AC0,LU,2010,11:48
TIME_SP,M,Y15-20,AC0,LU,2010,11:48
PTP_RT,T,Y15-20,AC0,LU,2010,100
