unit,sex,age,acl00,geo,TIME_PERIOD,OBS_VALUE
TIME_SP,T,Y20-24,AC0,UK,2000,10:59
PTP_RT,F,Y25-44,AC0,BE,2000,100.0
PTP_TIME,F,Y25-44,AC0,BE,2000,10:53
TIME_SP,F,Y25-44,AC0,BE,2000,10:53
PTP_RT,M,Y25-44,AC0,BE,2000,100.0
PTP_TIME,M,Y25-44,AC0,BE,2000,10:33
TIME_SP,M,Y25-44,AC0,BE,2000,10:33
PTP_RT,T,Y25-44,AC0,BE,2000,100.0
PTP_TIME,T,Y25-44,AC0,BE,2000,10:44
TIME_SP,T,Y25-44,AC0,BE,2000,10:44
PTP_RT,F,Y25-44,AC0,BG,2000,100.0
PTP_TIME,F,Y25-44,AC0,BG,2000,11:15
TIME_SP,F,Y25-44,AC0,BG,2000,11:15
PTP_RT,M,Y25-44,AC0,BG,2000,100.0
PTP_TIME,M,Y25-44,AC0,BG,2000,11:33
TIME_SP,M,Y25-44,AC0,BG,2000,11:33
PTP_RT,T,Y25-44,AC0,BG,2000,100.0
PTP_TIME,T,Y25-44,AC0,BG,2000,11:24
TIME_SP,T,Y25-44,AC0,BG,2000,11:24
PTP_RT,F,Y25-44,AC0,DE,2000,100.0
PTP_TIME,F,Y25-44,AC0,DE,2000,10:40
TIME_SP,F,Y25-44,AC0,DE,2000,10:40
PTP_RT,M,Y25-44,AC0,DE,2000,100.0
PTP_TIME,M,Y25-44,AC0,DE,2000,10:16
TIME_SP,M,Y25-44,AC0,DE,2000,10:16
PTP_RT,T,Y25-44,AC0,DE,2000,100.0
PTP_TIME,T,Y25-44,AC0,DE,2000,10:28
TIME_SP,T,Y25-44,AC0,DE,2000,10:28
PTP_RT,F,Y25-44,AC0,EE,2000,100.0
PTP_TIME,F,Y25-44,AC0,EE,2000,10:15
TIME_SP,F,Y25-44,AC0,EE,2000,10:15
PTP_RT,M,Y25-44,AC0,EE,2000,99.7
PTP_TIME,M,Y25-44,AC0,EE,2000,10:27
TIME_SP,M,Y25-44,AC0,EE,2000,10:25
PTP_RT,T,Y25-44,AC0,EE,2000,99.9
PTP_TIME,T,Y25-44,AC0,EE,2000,10:21
TIME_SP,T,Y25-44,AC0,EE,2000,10:20
PTP_RT,F,Y25-44,AC0,ES,2000,100.0
PTP_TIME,F,Y25-44,AC0,ES,2000,10:48
TIME_SP,F,Y25-44,AC0,ES,2000,10:48
